Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Halton West,HA2,D,Minor T-Junction,282,51 47.183N 000 50.250W,,12,WSW,Dunstable,48028 21039,HA2,HA2
Hay Bluff,HAB,C,Trig Point top of steep hill,2220,52 01.360N 003 06.165W,,14,W,Hereford,32443 23660,HAB,HAB
Halesland,HAD,D#,Hangar,870,51 15.607N 002 43.765W,129.980,15,WSW,Bath,34920 15147,HAD,HAD
Halesworth,HAE,B,Station/A144 Bridge,108,52 20.900N 001 30.270E,,18,SSE,Norwich,63878 27803,HAE,HAE
Hailsham,HAI,A,A22/A267 R'bout,115,50 52.736N 000 13.930E,,13,W,Hastings,55713 11120,HAI,HAI
Hawick,HAK,A,A698/A6088,36,55 26.114N 002 45.153W,,31,SW,Berwick,35248 61596,HAK,HAK
Halton,HAL,C##,NE corner of Hangars,370,51 47.215N 000 44.198W,130.425,8,SW,Dunstable,48724 21056,HAL,HAL
Harrogate North,HAN,C,A61/B6165,85,54 02.216N 001 33.888W,,17,WNW,York,42860 46019,HAN,HAN
Harting,HAR,C,Church Spire,230,50 58.132N 000 53.099W,,14,SSE,Lasham,47839 11942,HAR,HAR
Hastings,HAS,A,A21/A2100/B2093,157,50 53.418N 000 33.279E,,1.5,N,Hastings,57977 11320,HAS,HAS
Hatherleigh,HAT,A,A3072/River,322,50 49.123N 004 04.417W,,21,WNW,Exeter,25403 10418,HAT,HAT
Haverhill,HAV,C#,A143/A604,174,52 05.078N 000 26.225E,,13,SE,Cambridge,56708 24572,HAV,HAV
Hawkhurst,HAW,C,A229/A268,203,51 02.835N 000 30.569E,,11,N,Hastings,57600 13054,HAW,HAW
Hay-on-wye,HAY,A,River Bridge/B4351,295,52 04.577N 003 07.663W,,16,W,Hereford,32281 24259,HAY,HAY
HB start west,HB1,D#,Church Spire,394,52 25.895N 001 06.757W,,11,S,Leicester,46043 28188,HB1,HB1
HB start north,HB2,D#,T junction,525,52 29.173N 001 01.725W,,8,SSE,Leicester,46605 28803,HB2,HB2
HB start east,HB3,D#,Church Spire,410,52 25.644N 000 57.108W,,13,SE,Leicester,47137 28156,HB3,HB3
HB East,HB4,D#,Peritrack East,505,52 26.393N 001 02.023W,,12,S,Leicester,46578 28287,HB4,HB4
HB control point east,HB5,D,Lodge,404,52 26.317N 000 53.411W,,14,SE,Leicester,47554 28287,HB5,HB5
HB Finish West,HB7,D#,Western peritrack,505,52 26.362N 001 03.110W,,12,S,Leicester,46455 28280,HB7,HB7
Haydon Bridge,HBR,A,Road Br over River,69,54 58.407N 002 14.761W,,22,W,Newcastle,38435 56434,HBR,HBR
Herstmonceux,HCX,C,Castle Courtyard,151,50 52.163N 000 20.333E,,9,W,Hastings,56467 11037,HCX,HCX
Haddington,HDD,B,A1/A6137 Rbt,164,55 57.644N 002 47.416W,,14,E,Edinburgh,35076 67447,HDD,HDD
Helmsdale,HDL,A,A9/A897,30,58 06.987N 003 39.030W,,42,NNE,Inverness,30286 91535,HDL,HDL
Hardwick,HDW,C,A428 Bridge,207,52 13.216N 000 00.022E,,5,W,Cambridge,53674 25989,HDW,HDW
Hereford Cathedral,HEC,B,Central Tower,161,52 03.249N 002 42.944W,,0.2,S,Hereford,35102 23977,HEC,HEC
Heathfield E,HEE,A#,A265/B2095,395,50 58.410N 000 16.048E,,13,WNW,Hastings,55929 12179,HEE,HEE
Helensburgh,HEL,D,Pier Land End,49,56 00.085N 004 44.242W,,4,N,Greenock,22940 68210,HEL,HEL
Hereford Racecourse,HER,A,A49/4103,200,52 04.514N 002 43.323W,,1,NE,Hereford,35061 24212,HER,HER
Henstridge,HES,A,A30/A357,180,50 58.772N 002 23.877W,,9,E,Yeovil,37216 12009,HES,HES
Heugh Head,HEU,A,A97/A944,1148,57 11.821N 003 01.055W,,29,W,Aberdeen,33861 81226,HEU,HEU
Hexham,HEX,A,A69/River Bridge,69,54 59.038N 002 07.489W,,18,W,Newcastle,39211 56549,HEX,HEX
Highham,HGM,B#,A14 J40,215,52 16.005N 000 33.755E,,14,E,Cambridge,57496 26627,HGM,HGM
Hembury Hill,HHL,D,Crossroads,690,50 49.139N 003 15.874W,,10,NE,Exeter,31102 10292,HHL,HHL
Hinton Start W,HI1,D#,Church Spire,279,52 01.278N 001 16.611W,,16,N,Oxford,44972 23612,HI1,HI1
Hinckley,HIC,A,M69 J1/A5,299,52 30.900N 001 21.687W,,10,SW,Leicester,44343 29098,HIC,HIC
Hinton in the Hedges,HIN,C##!,R/Ws 27/33,500,52 01.598N 001 11.961W,119.455,5,ESE,Banbury,45503 23677,HIN,HIN
Hunstanton Lighthouse,HLH,A,Lighthouse,10,52 56.953N 000 29.584E,,33,NW,Peterborough,56760 34200,HLH,HLH
Helmsley,HLM,B,River Bridge/A170,118,54 14.639N 001 03.521W,,16,N,York,46144 48355,HLM,HLM
Harlech South,HLS,A#,Rail/Road Bridge,33,52 50.190N 004 07.430W,,50,W,Shrewsbury,25703 32867,HLS,HLS
Hungerford North,HNN,A,M4 J14/A338,509,51 27.172N 001 28.972W,,8,WNW,Newbury,43603 17278,HNN,HNN
Huntercombe,HNT,D,Prison wall SE,675,51 35.187N 001 01.028W,,13,SE,Oxford,46819 18797,HNT,HNT
Holsworthy,HOL,B,A388/3072,417,50 48.404N 004 20.984W,,32,W,Exeter,23454 10343,HOL,HOL
Honeybourne,HON,B,Rail/Road Bridge,171,52 06.090N 001 49.983W,,18,W,Banbury,41153 24481,HON,HON
Horncastle,HOR,C,A158/A153,56,53 12.460N 000 06.891W,,15,E,Lincoln,52600 36950,HOR,HOR
Hesket Old Town,HOT,A,A6 T junction,446,54 47.071N 002 48.641W,,8,SSE,Carlisle,34796 54359,HOT,HOT
Howden Dam,HOW,C,East tower,1050,53 25.684N 001 44.697W,,24,WSW,Doncaster,41705 39240,HOW,HOW
Harpley,HPY,A,A148 T-junction,256,52 48.209N 000 38.766E,,25,WNW,Norwich,57847 32616,HPY,HPY
Horam,HRM,B,A267/B2203 Y-Junction,244,50 56.047N 000 14.600E,,14,WNW,Hastings,55773 11736,HRM,HRM
Harrietsham,HRR,A#,Rail Bridge over A 20,371,51 14.527N 000 40.860E,,6,ESE,Maidstone,58723 15263,HRR,HRR
Hartside Top,HRT,B,A686/Cafe,1886,54 46.184N 002 33.088W,,15,ESE,Carlisle,36462 54179,HRT,HRT
Hawes,HSE,C,A684/B6255,62,54 18.246N 002 12.224W,,27,SW,Darlington,38684 48985,HSE,HSE
Hathersage,HSG,A,Bridge,443,53 19.304N 001 39.092W,,24,N,Derby,42331 38059,HSG,HSG
Hornsea Mere,HSM,A,Roundabout,23,53 54.680N 000 10.509W,,32,E,York,51997 44767,HSM,HSM
Honington Airfield,HTN,B#,Old airfield fire station,175,52 20.493N 000 46.742E,122.100,23,ENE,Cambridge,58941 27513,HTN,HTN
Huntly,HTY,A,A96/A97 R'bout,492,57 26.481N 002 47.707W,,28,NW,Aberdeen,35237 83928,HTY,HTY
Hope Under Dinmore,HUD,B,Entrance to Railway Tunnel,314,52 09.888N 002 43.386W,,7,N,Hereford,35064 25208,HUD,HUD
Hullavington M4/J17,HUL,A,M4/J17 Interchange,300,51 30.900N 002 07.300W,,12,NE,Bath,39165 17957,HUL,HUL
Humber Bridge,HUM,A,South Tower,546,53 41.994N 000 26.953W,,27,SE,York,50248 42372,HUM,HUM
Hungerford,HUN,B,Station/A338 Bridge,331,51 24.914N 001 30.939W,,10,W,Newbury,43378 16858,HUN,HUN
Hurstbourne Tarrant,HUR,C,A343/B3048,341,51 16.568N 001 27.182W,,9,SSW,Newbury,43825 15314,HUR,HUR
Husbands Bosworth,HUS,C#,Centre of Hangar complex,505,52 26.442N 001 02.818W,127.580,11,S,Leicester,46488 28295,HUS,HUS
Havant S,HVS,A,Causeway,10,50 49.899N 000 58.661W,,5,ENE,Portsmouth,47209 10407,HVS,HVS
Havant NW,HVT,A,A3(M)/B2150,194,50 52.563N 001 00.797W,,4,NNE,Portsmouth,46952 10897,HVT,HVT
Haverfordwest,HVW,B#,Bridge,45,51 47.483N 004 58.727W,,38,W,Swansea,19467 21450,HVW,HVW
