Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Scunthorpe N,SCU,B#,A1077/B1430,131,53 36.256N 000 39.166W,,16,ENE,Doncaster,48924 41281,SCU,SCU
St Davids,SDV,B,Cathedral Tower,164,51 52.902N 005 16.133W,,49,WNW,Swansea,17512 22540,SDV,SDV
Seighford Hangar,SE2,C#,SE side of club hangar,321,52 49.666N 002 12.553W,129.980,20,ENE,Shrewsbury,38600 32560,SE2,SE2
Seaford East,SEA,A,A259 river Bridge,15,50 46.395N 000 08.760E,,11,ESE,Brighton,55141 09927,SEA,SEA
Sedbergh,SED,B,A684/River,39,54 19.476N 002 34.066W,,18,NNE,Lancaster,36317 49226,SED,SED
Selset Reservoir,SEL,A,Dam wall north end,1050,54 35.362N 002 07.649W,,32,SW,Newcastle,39186 52158,SEL,SEL
Sennybridge,SEN,C,A40/A4067,625,51 57.002N 003 33.717W,,33,WSW,Hereford,29275 22910,SEN,SEN
Settle,SET,A,Rail Br over A65,75,54 03.008N 002 17.162W,,18,E,Lancaster,38137 46161,SET,SET
Severn Bridge N,SEV,B,East End Tolls,243,51 36.204N 002 37.371W,,16,NW,Bath,35696 18958,SEV,SEV
Sheffield West,SEW,B,Dam wall,1076,53 21.941N 001 35.743W,,21,SW,Doncaster,42700 38550,SEW,SEW
Stamford Bridge,SFB,A,A166/River Bridge,62,53 59.473N 000 55.005W,,6,ENE,York,47112 45556,SFB,SFB
Sleaford,SFD,A,Rail/Rail Bridge,207,52 59.626N 000 23.301W,,11,NE,Grantham,50827 34526,SFD,SFD
Sheffield East,SFE,A#,M1 J31/A57,174,53 21.731N 001 17.010W,,9,SW,Doncaster,44778 38527,SFE,SFE
Stratford West,SFW,A,Road Bridge over R Avon,148,52 10.548N 001 47.380W,,17,NW,Banbury,41448 25308,SFW,SFW
Stelling Windmill,SGW,D,Windmill,476,51 10.640N 001 04.156E,,6,S,Canterbury,61463 14649,SGW,SGW
Shobdon NW,SH2,D##,B4362 crossroads,475,52 15.681N 002 55.530W,,14,NW,Hereford,33693 26298,SH2,SH2
Shobdon E,SH3,D,Crossroads,290,52 16.265N 002 46.822W,,12,N,Hereford,34685 26395,SH3,SH3
Shobdon West,SH4,D,Y junction,250,52 14.450N 002 58.490W,,15,NW,Hereford,33353 26074,SH4,SH4
Shaftesbury,SHA,A,A30/A350 R'bout,650,51 00.120N 002 11.079W,,14,WSW,Salisbury,38714 12253,SHA,SHA
Sherborne,SHB,A#!,Station/A352 Bridge,161,50 56.428N 002 31.244W,,5,E,Yeovil,36351 11580,SHB,SHB
Stoer Head,SHD,B,Lighthouse,92,58 14.402N 005 24.162W,,22,NNW,Ullapool,20036 93297,SHD,SHD
Sheffield North,SHE,A,M1 J35/A629,135,53 27.354N 001 26.728W,,14,WSW,Doncaster,43692 39560,SHE,SHE
Shirebrook Station,SHI,A,Rail Station,223,53 12.198N 001 12.170W,,24,W,Lincoln,45335 36766,SHI,SHI
Salt Hill Mast,SHL,D,Mast near 768ft high point,240,50 58.409N 001 02.425W,,13,S,Lasham,46747 11978,SHL,SHL
Shepton Mallett,SHM,C,A361/A37,489,51 11.261N 002 32.166W,,13,SSW,Bath,36263 14330,SHM,SHM
Shobdon,SHO,A##,E end of single R/W,328,52 14.524N 002 52.466W,118.155,13,NNW,Hereford,34039 26079,SHO,SHO
Shipston-on-stour,SHP,A,A3400/A429,171,52 05.831N 001 37.742W,,10,W,Banbury,42551 24438,SHP,SHP
Shrewsbury,SHS,B,River Severn/Rail Br,171,52 42.626N 002 44.882W,,0,N/A,Shrewsbury,34956 31279,SHS,SHS
Shottaton,SHT,C,Cross-Roads,303,52 47.911N 002 57.028W,,9,NW,Shrewsbury,33601 32275,SHT,SHT
Shrivenham N,SHV,B,A420/B4508 R'bt,335,51 36.934N 001 38.195W,,1.5,ENE,Swindon,42526 19081,SHV,SHV
Shrewsbury NW,SHW,D,Shelton water tower,272,52 42.986N 002 47.624W,,2,NNW,Shrewsbury,34648 31349,SHW,SHW
Shawbury,SHY,A##!,Runway Intersection 18/36 & 05/23,240,52 47.876N 002 40.080W,133.150,44,W,Derby,35506 32247,SHY,SHY
Sidmouth,SID,B,River Bridge,30,50 40.745N 003 14.054W,,10,E,Exeter,31289 08733,SID,SID
Silverstone,SIL,C#,R/W 24 E end /Racetrack,502,52 04.376N 001 00.496W,,12,SSW,Northampton,46807 24208,SIL,SIL
Stirling South,SIS,A#,M9 J9/A872,118,56 04.651N 003 55.216W,,2,S,Stirling,28058 68885,SIS,SIS
Sittingbourne,SIT,A,M2 J5/ A249,407,51 19.770N 000 39.804E,,7,NE,Maidstone,58565 16230,SIT,SIT
Stirling Northwest,SIW,A,A84 bridge over M9at Junction 10,105,56 08.070N 003 58.273W,,2,NW,Stirling,27759 69528,SIW,SIW
Sixpenny Handley,SIX,A,A354/B3081,390,50 56.946N 001 59.160W,,6,SW,Salisbury,40108 11663,SIX,SIX
Stickney Bridge,SKB,A,Bridge,10,53 04.022N 000 00.929E,,21,ESE,Lincoln,53514 35410,SKB,SKB
Skeffington,SKE,C,A47/B6047,384,52 37.155N 000 55.336W,,7,E,Leicester,47306 30293,SKE,SKE
Skelling Farm,SKF,D,Flying field,597,54 41.876N 002 35.002W,129.980,17,SE,Carlisle,36250 53381,SKF,SKF
Stocks Reservoir South West,SKS,A,Tower near dam wall SW corner of water,625,53 59.208N 002 25.728W,,12,ESE,Lancaster,37198 45461,SKS,SKS
Selkirk W,SKW,A,A708/B7039,492,55 32.628N 002 54.020W,,28,SE,Edinburgh,34328 62816,SKW,SKW
Sleap,SLE,C##,A/F R/Ws 23/36,275,52 50.072N 002 46.221W,122.455,10,N,Shrewsbury,34820 32661,SLE,SLE
Silloth,SLL,B,B5300/B5301,23,54 51.618N 003 23.085W,,15,W,Carlisle,31121 55260,SLL,SLL
Selsey Bill,SLS,B,Lifeboat station,30,50 43.634N 000 46.732W,,12,ESE,Portsmouth,48629 09267,SLS,SLS
Smailholm Tower,SMA,D,Tower on hill,680,55 36.256N 002 34.559W,,21,SW,Berwick,36381 63467,SMA,SMA
Six Mile Bottom,SMB,A#!,A11/Rail Br,98,52 11.147N 000 17.936E,,6,E,Cambridge,55726 25666,SMB,SMB
St Mary's Loch,SML,A,A708/River Br,30,55 29.541N 003 12.283W,,26,S,Edinburgh,32398 62272,SML,SML
Snitterfield SW,SN2,D#,T junction A3400/minor road East,280,52 13.374N 001 44.126W,,17,E,Worcester,41817 25833,SN2,SN2
Snainton,SNA,A,A170/B1258,220,54 13.716N 000 35.718W,,23,NE,York,49167 48234,SNA,SNA
Snitterfield,SNI,D#,Gliding Site Hangar,375,52 14.136N 001 42.645W,129.980,18,E,Worcester,41985 25975,SNI,SNI
Swindon N,SNO,B,A419/B4019,480,51 36.535N 001 47.269W,,2,N,Swindon,41479 19003,SNO,SNO
Staindrop,SNP,C,A688/B6274,95,54 34.881N 001 47.902W,,10,WNW,Darlington,41313 52070,SNP,SNP
St Neots S,SNS,B,A1/A421,72,52 11.074N 000 18.321W,,7,NE,Bedford,51596 25539,SNS,SNS
Stratford NW,SNW,D#,Wilmcote village T Junction,195,52 13.215N 001 45.699W,,16,E,Worcester,41638 25803,SNW,SNW
Stratford,SOA,A,River/A422 Bridge,121,52 11.481N 001 42.004W,,15,NW,Banbury,42060 25483,SOA,SOA
Sutton-on-forest,SOF,C,B1363 T Junction,72,54 04.510N 001 06.089W,,7,N,York,45889 46473,SOF,SOF
Soham,SOH,A#!,A1123 Br over rail,102,52 18.943N 000 20.453E,,9,NE,Cambridge,55966 27120,SOH,SOH
Stokenchurch South,SOS,A,B482 bridge over M40,690,51 38.822N 000 53.433W,,14,ESE,Oxford,47686 19483,SOS,SOS
Southam,SOU,C,A425/A423 Rbt,217,52 14.769N 001 23.461W,,12,N,Banbury,44168 26106,SOU,SOU
Spalding,SPA,C,Station/A151 Bridge,23,52 47.187N 000 09.561W,,13,NNE,Peterborough,52423 32257,SPA,SPA
Sharperton Bridge,SPB,A#,Over River Coquet,417,55 19.685N 002 04.363W,,28,NW,Newcastle,39548 60378,SPB,SPB
Spey Dam,SPD,B,Dam wall,886,57 00.670N 004 20.186W,,28,S,Inverness,25822 79354,SPD,SPD
Spean Bridge,SPE,A,A86/A82,617,56 53.582N 004 55.202W,,8,NE,Fort William,22223 78176,SPE,SPE
Staplehurst,SPH,A#,Stn/A229 Br,121,51 10.275N 000 33.119E,,6,S,Maidstone,57850 14443,SPH,SPH
Spilsby,SPI,C,A16/A158,46,53 11.385N 000 06.148E,,24,E,Lincoln,54057 36791,SPI,SPI
Spittal of Glenshee,SPL,A,"A93 Br over Shee Water, Caution - rugged terrain.",1100,56 48.742N 003 27.455W,,25,NW,Dundee,31111 76993,SPL,SPL
Spinningdale Bridge,SPN,A,A949 over river,30,57 52.623N 004 14.190W,,25,N,Inverness,26746 88970,SPN,SPN
Sheppey E,SPP,B,Roundabout,16,51 22.389N 000 57.028E,,7,NW,Canterbury,60545 16792,SPP,SPP
Shap S,SPS,A,Centre of dam wall,920,54 29.871N 002 41.542W,,26,SSE,Carlisle,35526 51161,SPS,SPS
Shipton,SPT,C,B4368/B4378,269,52 31.177N 002 38.993W,,11,SSE,Shrewsbury,35600 29150,SPT,SPT
Spurn Head North,SPU,C,Kilnsea,5,53 37.194N 000 07.763E,,40,NE,Lincoln,54094 41581,SPU,SPU
Stroud E,SRE,D,Y junction,656,51 44.698N 002 11.425W,,10,SSW,Cheltenham,38695 20516,SRE,SRE
Strontian,SRN,A,A861 br over R Strontian,30,56 41.755N 005 34.281W,,17,SW,Fort William,18143 76172,SRN,SRN
Storrington SW,SRR,D,Roundabout,558,50 54.123N 000 28.687W,,12,W,Brighton,50711 11250,SRR,SRR
Sheffield South,SSO,C,A61/A6102,591,53 19.601N 001 28.410W,,21,N,Derby,43517 38121,SSO,SSO
Stoke SW,SSW,A,Bridge over M6,518,52 59.623N 002 17.366W,,25,ESE,Chester,38067 34408,SSW,SSW
Stafford,STA,A,M6 J14/A5013,259,52 49.585N 002 08.751W,,22,WSW,Derby,39027 32544,STA,STA
St Boswells,STB,A,A68/699,43,55 33.967N 002 38.872W,,24,SW,Berwick,35924 63046,STB,STB
Stokenchurch Tower,STC,C,Tower,794,51 39.914N 000 55.480W,,12,ESE,Oxford,47447 19682,STC,STC
Stradishall,STD,C,A143/B1063,184,52 08.886N 000 33.186E,,15,ESE,Cambridge,57478 25305,STD,STD
Steyning,STE,C,Church Tower,59,50 53.398N 000 19.498W,,8,WNW,Brighton,51791 11139,STE,STE
St Fillans,STF,A,River Earn Bridge,66,56 23.489N 004 06.253W,,22,W,Perth,27020 72412,STF,STF
Stanhope,STH,C,B6278/River Bridge,690,54 44.802N 002 01.489W,,20,NW,Darlington,39850 53908,STH,STH
Stirling,STI,C,Wallace Monument,92,56 08.314N 003 55.070W,,2,N,Stirling,28092 69564,STI,STI
Stockbridge,STK,A,A30/R Test Bridge,121,51 06.884N 001 29.876W,,12,E,Salisbury,43524 13517,STK,STK
St Neots,STN,A,A428/Rail bridge,79,52 12.575N 000 15.704W,,8,NE,Bedford,51887 25824,STN,STN
Stone,STO,C,Station,249,52 54.493N 002 09.311W,,24,W,Derby,38966 33454,STO,STO
Stourport,STP,B,A451/River Bridge,144,52 20.216N 002 17.011W,,10,N,Worcester,38078 27102,STP,STP
Strachan,STR,B#,B976/B974,131,57 01.226N 002 32.195W,,15,WSW,Aberdeen,36752 79227,STR,STR
Stony Stratford,STS,A,A5/A508 R'bout,420,52 03.982N 000 52.172W,,10,S,Northampton,47759 24149,STS,STS
Stretton,STT,A,A1/B668,338,52 44.061N 000 36.011W,,12,S,Grantham,49462 31611,STT,STT
Sturminster Newton,STU,C,A357/B3092,151,50 55.254N 002 18.486W,,12,E,Yeovil,37844 11354,STU,STU
Stow-on-the-wold,STW,C,A436/A429,217,51 55.754N 001 43.479W,,16,SW,Banbury,41903 22567,STW,STW
Sutton Bank Start S,SU1,C#,Newburgh lake,223,54 10.996N 001 10.389W,,14,NNW,York,45406 47670,SU1,SU1
Sutton Bank Start W,SU2,C#,A170 T junction,226,54 13.889N 001 17.550W,,18,NNW,York,44622 48198,SU2,SU2
Sutton Bank Control Point N,SU3,D#,Wethercote Farm,869,54 16.147N 001 11.786W,,19,NNW,York,45243 48624,SU3,SU3
Sutton Bank Control Point S,SU4,D#,T junction,138,54 11.463N 001 14.438W,,14,NNW,York,44965 47752,SU4,SU4
Sudbury,SUD,A#,A131/River bridge,174,52 02.104N 000 43.263E,,15,W,Ipswich,58674 24090,SUD,SUD
Sutton Bank,SUT,A#,Clubhouse,920,54 13.728N 001 12.580W,118.685,16,N,York,45162 48174,SUT,SUT
Shipton under Wychwood,SUW,A,A361/River Bridge,330,51 51.696N 001 35.619W,,14,NW,Oxford,42808 21819,SUW,SUW
Strathaven,SVN,A#,A71/A726,95,55 40.521N 004 03.869W,,10,SE,Glasgow,27027 64436,SVN,SVN
Snowdon,SWD,B,Station,3480,53 04.078N 004 04.695W,,37,W,Chester,26085 35432,SWD,SWD
Swindon East,SWE,A,A419/Rail Bridge,331,51 34.673N 001 44.100W,,1,ENE,Swindon,41846 18659,SWE,SWE
Shawhead,SWH,B,T-junction,331,55 03.904N 003 46.135W,,10,W,Dumfries,28713 57594,SWH,SWH
Swalcliffe,SWL,B,B4035 T junction,427,52 02.297N 001 27.148W,,3,W,Banbury,43765 23790,SWL,SWL
Southwell Minster,SWM,B,Centre Tower,197,53 04.606N 000 57.250W,,16,SW,Lincoln,47016 35379,SWM,SWM
Swindon South,SWS,A,M4 J15/A345,390,51 31.596N 001 43.513W,,3,SE,Swindon,41916 18089,SWS,SWS
Swainsthorpe,SWT,D#,Rail/Road,64,52 33.754N 001 16.235E,,5,S,Norwich,62177 30110,SWT,SWT
Swindon W,SWW,A,M4 J16,361,51 32.717N 001 51.228W,,3,SW,Swindon,41024 18294,SWW,SWW
Saxby Church,SXB,C,Church Tower,346,52 46.328N 000 47.186W,,15,ENE,Leicester,48197 32008,SXB,SXB
Syre Bridge,SYB,A,River Bridge,161,58 22.288N 004 13.919W,,33,WSW,Wick,26955 94472,SYB,SYB
Talgarth NW,TA1,B,A479/A438 Rbout,420,52 00.275N 003 14.686W,,20,WSW,Hereford,31465 23475,TA1,TA1
Talgarth W,TA2,A,A470 T Junction,482,51 59.910N 003 17.050W,,21,WSW,Hereford,31193 23412,TA2,TA2
Talgarth S,TA3,D,A479 T junction,590,51 55.748N 003 11.326W,,19,SW,Hereford,31836 22629,TA3,TA3
Tarland,TAD,C,Church Spire,525,57 07.809N 002 51.171W,,24,W,Aberdeen,34847 80468,TAD,TAD
Talgarth,TAL,D#,Clubhouse,970,51 58.774N 003 12.366W,118.685,18,W,Hereford,31726 23192,TAL,TAL
Tarbert,TAR,D,Pier,36,55 51.935N 005 23.829W,,22,W,Greenock,18753 66882,TAR,TAR
Taunton,TAU,A,M5 J25/A358,276,51 01.074N 003 03.827W,,17,WNW,Yeovil,32548 12482,TAU,TAU
Tavistock,TAV,B,A386 Bridge,295,50 32.616N 004 09.072W,,9,N,Plymouth,24767 07375,TAV,TAV
Tibenham Start SE,TB1,A#,Rail/B1134,174,52 26.824N 001 10.481E,,12,SSW,Norwich,61584 28797,TB1,TB1
Troutbeck,TBK,A,A66/A5091,919,54 38.176N 002 56.941W,,12,S,Carlisle,33884 52721,TBK,TBK
Tetbury North,TBN,B,Road Junction,405,51 38.866N 002 08.628W,,10,S,Cheltenham,39015 19434,TBN,TBN
Tetbury South,TBS,B,Church,484,51 35.136N 002 15.474W,,20,SSW,Cheltenham,38226 18745,TBS,TBS
Tetbury West,TBW,B#,Chavenage House,489,51 39.322N 002 11.189W,,15,S,Cheltenham,38720 19519,TBW,TBW
Tenby,TBY,B,Rail bridge,157,51 40.659N 004 42.829W,,28,W,Swansea,21247 20114,TBY,TBY
The Camp,TCM,D,Y junction,863,51 46.724N 002 07.538W,,6,SSW,Cheltenham,39143 20890,TCM,TCM
Tindale,TDL,C,A689 T junction,623,54 55.852N 002 36.075W,,12,E,Carlisle,36157 55974,TDL,TDL
Tebay,TEB,A,M6 J38/A685,541,54 26.197N 002 35.861W,,24,NNE,Lancaster,36133 50474,TEB,TEB
Tenterden,TED,A,A28/Rail Bridge,174,51 03.855N 000 39.574E,,12,NNE,Hastings,58645 13280,TED,TED
Telford East,TEE,A,A5/A41,331,52 41.717N 002 19.200W,,16,E,Shrewsbury,37847 31089,TEE,TEE
Telford,TEL,A,M54 J7/A5/B5061,240,52 41.441N 002 32.594W,,7,E,Shrewsbury,36338 31047,TEL,TEL
Tenbury Wells,TEN,B,A4112/River Bridge,266,52 18.836N 002 35.696W,,16,NW,Worcester,35954 26859,TEN,TEN
Telford South,TES,B,Bridge,98,52 36.941N 002 26.530W,,12,ESE,Shrewsbury,37016 30208,TES,TES
Teviothead,TEV,C,R Teviot Bridge,560,55 20.522N 002 56.144W,,27,N,Carlisle,34075 60573,TEV,TEV
Tewkesbury North,TEW,A,M5 J8/M50,174,52 02.868N 002 08.117W,,10,N,Cheltenham,39082 23883,TEW,TEW
Tarfside,TFS,D,River/Road Bridge,689,56 54.368N 002 50.155W,,26,SW,Aberdeen,34919 77973,TFS,TFS
Thame Church,THA,C,Church Tower,377,51 45.054N 000 58.860W,,10,E,Oxford,47044 20629,THA,THA
Todhead,THD,A,Lighthouse,262,56 53.015N 002 12.917W,,15,S,Aberdeen,38698 77693,THD,THD
Thetford,THE,A,A1066/A1088,128,52 24.703N 000 45.771E,,25,NE,Cambridge,58801 28289,THE,THE
Thorngumbald,THG,C,Crossroads,10,53 43.258N 000 10.265W,,34,ESE,York,52078 42650,THG,THG
Thirsk,THI,A#,A170/A19,108,54 14.067N 001 19.579W,,18,NW,York,44401 48229,THI,THI
Thame Rail Bridge,THM,A,A418/Rail Bridge,289,51 46.542N 000 57.009W,,10,E,Oxford,47253 20908,THM,THM
Thornhill,THN,A,A702/River,20,55 14.418N 003 46.648W,,10,NNW,Dumfries,28708 59545,THN,THN
Thornton,THO,A,A92/Rail Bridge,351,56 09.777N 003 08.273W,,13,N,Edinburgh,32943 69728,THO,THO
Thrapston,THP,A,A14/A605 Junction,266,52 23.476N 000 31.431W,,15,NE,Northampton,50055 27805,THP,THP
Tintern Abbey,TIA,D,Centre of ruined abbey,35,51 41.805N 002 40.615W,,20,S,Hereford,35331 19999,TIA,TIA
Tibenham,TIB,C#,Clubhouse,186,52 27.449N 001 09.695E,129.980,12,SSW,Norwich,61490 28909,TIB,TIB
Tideswell Church,TID,B#,Church tower,978,53 16.720N 001 46.350W,,22,NNW,Derby,41527 37577,TID,TID
Tiverton East,TIE,A,M5 J27/A361,502,50 55.049N 003 21.367W,,13,NNE,Exeter,30477 11399,TIE,TIE
Tomatin,TIN,B,A9/River Bridge,984,57 20.150N 003 58.867W,,10,SE,Inverness,28084 82899,TIN,TIN
Tiptree,TIP,C#,Crossroads,220,51 49.008N 000 44.675E,,21,SW,Ipswich,58927 21669,TIP,TIP
Tisbury,TIS,C,Rail Br. over Road,318,51 03.537N 002 04.886W,,10,W,Salisbury,39439 12885,TIS,TIS
Tiverton,TIV,C,A361/A396,407,50 54.830N 003 29.546W,,11,N,Exeter,29518 11377,TIV,TIV
Thornbury Northeast,TNE,A,M5 J14/B4509,384,51 38.253N 002 27.126W,,13,NNW,Bath,36881 19329,TNE,TNE
Telford NW,TNW,A,A442/B5062,177,52 45.550N 002 32.947W,,8,NE,Shrewsbury,36304 31809,TNW,TNW
Tockwith,TOC,C,Church Spire,75,53 57.918N 001 17.463W,,7,W,York,44661 45237,TOC,TOC
Toddington,TOD,A#,M1 Services Bridge,299,51 56.853N 000 30.142W,,5,NNE,Dunstable,50303 22873,TOD,TOD
Tongue,TOG,A,A836 T junction,150,58 28.565N 004 25.061W,,60,N,Inverness,25911 95674,TOG,TOG
Torksey Viaduct,TOK,A,Viaduct,13,53 18.171N 000 44.839W,,9,NW,Lincoln,48358 37916,TOK,TOK
Tomintoul,TOM,C,A939/B9008,1312,57 15.182N 003 22.360W,,27,S,Lossiemouth,31728 81887,TOM,TOM
Tontine Inn,TON,A,A172 bridge over A19,180,54 23.415N 001 19.140W,,11,SE,Darlington,44432 49963,TON,TON
Torver,TOR,A,A593/A5084,351,54 20.284N 003 06.146W,,20,NW,Lancaster,32842 49417,TOR,TOR
Towcester,TOW,A,A5/A43 Rbt,289,52 08.378N 000 59.811W,,8,SW,Northampton,46875 24951,TOW,TOW
Tregaron,TRE,A,Bridge,574,52 13.195N 003 56.051W,,34,N,Swansea,26797 25973,TRE,TRE
Turriff,TRF,A,A947/B9024,197,57 31.998N 002 27.686W,,25,NNW,Aberdeen,37247 84933,TRF,TRF
Trowbridge,TRO,C,Station/ A366 Bridge,121,51 19.147N 002 12.809W,,7,SE,Bath,38522 15780,TRO,TRO
Truro NE,TRR,A,A39/A390,245,50 16.334N 005 02.077W,,35,WSW,Plymouth,18386 04577,TRR,TRR
Truleigh,TRU,D#!,Aerial W,708,50 53.007N 000 15.614W,,5,NW,Brighton,52248 11077,TRU,TRU
Truro West,TRW,A,Rail Junction,15,50 15.489N 005 04.457W,,38,WSW,Plymouth,18097 04432,TRW,TRW
Treyford,TRY,D,T junction,194,50 57.558N 000 49.617W,,14,SSE,Lasham,48248 11842,TRY,TRY
Telford SW,TSW,A,A4169 Bridge,180,52 38.183N 002 31.552W,,10,ESE,Shrewsbury,36451 30442,TSW,TSW
Tuxford Rail Junction,TUJ,A,Rail/Rail Crossing,154,53 13.534N 000 52.656W,,13,W,Lincoln,47503 37042,TUJ,TUJ
Tulla Loch East,TUL,C,A82/E end,361,56 33.290N 004 44.944W,,25,ENE,Oban,23113 74370,TUL,TUL
Tummel Bridge,TUM,A,B846/River,492,56 42.472N 004 01.410W,,27,NW,Perth,27622 75918,TUM,TUM
Tulla Loch West,TUW,A,River Shira Bridge,558,56 32.384N 004 48.812W,,23,ENE,Oban,22710 74218,TUW,TUW
Ullswater,ULL,A,A592/B5320,66,54 36.677N 002 49.931W,,17,S,Carlisle,34635 52433,ULL,ULL
Ulpha,ULP,B,Bridge,213,54 19.585N 003 14.228W,,21,NW,Lancaster,31964 49302,ULP,ULP
Ulverston,ULV,C,Monument,62,54 12.152N 003 04.973W,,14,NW,Lancaster,32946 47907,ULV,ULV
Upavon Hangar W,UPA,C#,SE corner of west hangar,575,51 17.419N 001 46.738W,124.100,13,N,Salisbury,41551 15460,UPA,UPA
Ullapool,UPL,A,A835 bridge,65,57 54.275N 005 09.624W,,1,N,Ullapool,21283 89495,UPL,UPL
Uppingham N,UPP,A,A47/A6003,410,52 35.780N 000 43.502W,,14,E,Leicester,48646 30060,UPP,UPP
Upper Sapey,UPS,C,Crossroads,546,52 16.038N 002 27.726W,,10,WNW,Worcester,36856 26334,UPS,UPS
Upwood Hangar,UPW,C#,Centre of club hangar SW end of grass runway,75,52 25.947N 000 08.851W,129.980,10,SSE,Peterborough,52604 28322,UPW,UPW
Usk,USK,D#,Clubhouse,80,51 43.096N 002 50.776W,129.980,21,S,Hereford,34164 20251,USK,USK
Uttoxeter,UTT,A,B5017/Rail Bridge,236,52 53.782N 001 51.587W,,14,W,Derby,40953 33322,UTT,UTT
Uffington White Horse,UWH,B,Head of White Horse,785,51 34.670N 001 33.987W,,22,SW,Oxford,43014 18664,UWH,UWH
Vyrnwy,VRY,A,Dam Wall NE Side,167,52 45.766N 003 27.245W,,25,W,Shrewsbury,30198 31934,VRY,VRY
Waterbeck,WAB,B,B725/B722,355,55 05.117N 003 11.096W,,15,NW,Carlisle,32446 57740,WAB,WAB
Walford,WAL,C,A4113/B4530,299,52 20.912N 002 53.702W,,18,NNW,Hereford,33913 27265,WAL,WAL
Wantage,WAN,B,A338 roundabout,322,51 35.852N 001 25.374W,,12,SSW,Oxford,44007 18890,WAN,WAN
Watton,WAO,A,R/W 28/10 W End,207,52 33.845N 000 50.932E,,18,WSW,Norwich,59319 30006,WAO,WAO
Warcop,WAR,C#,Bridge over R Eden,475,54 31.832N 002 23.909W,,28,SE,Carlisle,37431 51510,WAR,WAR
Washington,WAS,A,A24/A283 Roundabout,102,50 54.574N 000 24.483W,,10,WNW,Brighton,51202 11344,WAS,WAS
Watford Gap,WAT,A,M1 Serv/B5385 Br,276,52 18.537N 001 07.432W,,9,NW,Northampton,45983 26823,WAT,WAT
Watch Water Reservoir,WAW,B,Northernmost point of reservoir,896,55 48.170N 002 32.459W,,18,W,Berwick,36619 65675,WAW,WAW
Whiteburn,WBN,A,A697/A6089,690,55 43.140N 002 39.116W,,21,W,Berwick,35914 64748,WBN,WBN
Weldon Bridge,WBR,A,A697/River Coquet,164,55 16.881N 001 46.971W,,20,NNW,Newcastle,41389 59860,WBR,WBR
Wetherby South,WBS,A,A1 Bridge over A64,52,53 51.359N 001 20.647W,,11,WSW,York,44324 44017,WBS,WBS
Whitby Bridge,WBY,A,A171 bridge over river Esk,50,54 28.726N 000 36.825W,,35,NNE,York,48992 51015,WBY,WBY
Winchcombe,WCB,C,Rail/A3632 Br,161,51 57.947N 001 57.316W,,5,NE,Cheltenham,40317 22970,WCB,WCB
Woodchurch Farm,WCH,D#,Grass Airstrip,140,51 06.000N 000 46.720E,,15,NNE,Hastings,59464 13708,WCH,WCH
Widdrington Station,WDD,A,Rail/B1337,157,55 14.488N 001 37.007W,,21,N,Newcastle,42447 59421,WDD,WDD
Witheridge,WDG,A,T-junction,663,50 54.668N 003 41.812W,,14,NW,Exeter,28080 11378,WDG,WDG
Windermere,WDM,B,A592/A5074,148,54 21.853N 002 55.190W,,18,N,Lancaster,34033 49691,WDM,WDM
Waldershare Park,WDP,D#,Gliding Site,375,51 10.310N 001 16.559E,,10,SE,Canterbury,62910 14650,WDP,WDP
Westbury NE,WEB,A,Building,220,51 16.406N 002 09.545W,,10,SE,Bath,38900 15271,WEB,WEB
Westcott,WEC,A,A41/Dis Rly,374,51 51.424N 000 58.699W,,12,ENE,Oxford,47046 21810,WEC,WEC
Wellington,WEG,A,B3187 br over Rail,469,50 59.087N 003 14.381W,,18,NNE,Exeter,31308 12133,WEG,WEG
Welford,WEL,C,Church Spire,285,51 27.341N 001 24.782W,,6,NW,Newbury,44088 17313,WEL,WEL
Wendling,WEN,B,Old runway intersection,236,52 41.950N 000 50.897E,,16,W,Norwich,59256 31508,WEN,WEN
Westbury,WES,C,Rail Triangle/Bridge,200,51 16.327N 002 11.652W,,10,SE,Bath,38655 15257,WES,WES
Wetherby,WET,A,A1/River bridge,43,53 55.351N 001 22.941W,,10,W,York,44066 44755,WET,WET
Weymouth,WEY,B,A353 bridge,30,50 36.812N 002 27.503W,,21,SSE,Yeovil,36766 07941,WEY,WEY
Wigton,WGT,A,Rail station,98,54 49.762N 003 09.852W,,9,SW,Carlisle,32531 54890,WGT,WGT
Wing W,WGW,C,West end of old runway,460,51 54.046N 000 45.851W,,8,WNW,Dunstable,48512 22319,WGW,WGW
Whitchurch Hants,WH2,A,A34/Rail,360,51 14.290N 001 20.754W,,12,WNW,Lasham,44576 14898,WH2,WH2
Whiddon Down,WHD,A,A30 Bridge,361,50 43.257N 003 50.939W,,12,W,Exeter,26958 09289,WHD,WHD
Whitchurch Shropshire,WHI,A,A525/Rail Br,331,52 58.031N 002 40.306W,,15,N,Shrewsbury,35498 34130,WHI,WHI
Whitehaven Marina,WHM,B,Marina entrance,10,54 32.994N 003 35.365W,,31,SW,Carlisle,29729 51835,WHM,WHM
Whittington,WHN,A,A134/B1112 Rbt,75,52 33.900N 000 31.643E,,25,NE,Cambridge,57140 29935,WHN,WHN
